treatment_mode,treat_state_count,treat_states
june_only,20,"1,2,5,12,13,16,18,19,28,29,30,31,38,39,40,46,48,49,54,56"
all_early_exits,24,"1,2,4,5,12,13,16,18,19,22,24,28,29,30,31,38,39,40,46,47,48,49,54,56"
