date,STATEFIP,COUNTYFIP,emp_incq1,Policy_DiD,covid_severity,FIPS,ym,median_household_income_usd,family_poverty_rate_pct,unemployment_rate_pct,economic_vulnerability_z,median_household_income_usd_z,family_poverty_rate_pct_z,unemployment_rate_pct_z
2021-01-01,1,1015,-0.7083999999999999,0,3003.451612903226,01015,2021-01,55826.0,12.5,6.4,1.2972042717963714,-1.1108792420715257,1.1130834936144263,1.0936221251621292
2021-01-01,1,1073,-0.279,0,3003.451612903226,01073,2021-01,64589.0,11.6,4.8,0.6609417672435323,-0.6875379857427634,0.8666217686657107,-0.05860742036770838
2021-01-01,1,1077,-0.21886,0,3003.451612903226,01077,2021-01,59082.0,9.6,3.9,0.4523181396191963,-0.9535816121951762,0.31892904655745435,-0.7067365397282417
2021-01-01,1,1089,-0.1948,0,3003.451612903226,01089,2021-01,83528.0,7.4,3.8,-0.43568063369355764,0.22740667403247683,-0.28353294776162746,-0.7787508863238566
2021-01-01,1,1097,0.1576896,0,3003.451612903226,01097,2021-01,58119.0,11.9,5.3,0.9634626254446126,-1.0001042220142562,0.9487756769819494,0.3014643126103657
2021-01-01,1,1101,-0.3742,0,3003.451612903226,01101,2021-01,58153.0,16.0,6.0,1.4734209321906508,-0.9984616791961372,2.0715457573038747,0.8055647387796696
2021-01-01,1,1103,-0.1834,0,3003.451612903226,01103,2021-01,64858.0,10.1,4.0,0.35964510994099935,-0.674542573446468,0.45585222708451845,-0.6347221931326268
2021-01-01,1,1113,-0.1236,0,3003.451612903226,01113,2021-01,50046.0,18.0,6.6,1.995073672126387,-1.3901115211517776,2.619238479412131,1.2376508183533583
2021-01-01,1,1115,-0.0063979999999999,0,3003.451612903226,01115,2021-01,78993.0,7.6,4.5,-0.15578541606711543,0.008320448145116646,-0.22876367555080201,-0.2746504601545527
2021-01-01,1,1117,-0.15044,0,3003.451612903226,01117,2021-01,93543.0,4.5,2.9,-1.1504230779846754,0.7112321541343317,-1.0776873948185992,-1.4268800056843898
2021-01-01,1,1125,-0.029162,0,3003.451612903226,01125,2021-01,63947.0,11.5,5.4,0.78746097299835,-0.7185530589554834,0.839237132560298,0.37347865920598095
2021-01-01,2,2020,-0.3578,0,68.06451612903226,02020,2021-01,98152.0,5.8,4.6,-0.8235307051701578,0.9338933261552453,-0.7216871254482327,-0.20263611355893815
2021-01-01,4,4001,-0.28554,0,4771.935483870968,04001,2021-01,40338.0,25.1,10.0,3.57563739192629,-1.8591058058076744,4.563547642896442,3.686138602604262
2021-01-01,4,4003,-0.08498,0,4771.935483870968,04003,2021-01,58970.0,11.1,7.3,1.2609796850481567,-0.9589923414783922,0.7296985881386466,1.7417512445226622
2021-01-01,4,4005,-0.4528,0,4771.935483870968,04005,2021-01,69748.0,10.6,6.6,0.7831627642183467,-0.43830626813462864,0.5927754076115825,1.2376508183533583
2021-01-01,4,4013,-0.2364,0,4771.935483870968,04013,2021-01,85518.0,7.8,4.6,-0.29623087129647924,0.3235437389753317,-0.17399440333997632,-0.20263611355893815
2021-01-01,4,4015,0.1268,0,4771.935483870968,04015,2021-01,55799.0,11.4,6.9,1.2962283489046251,-1.112183614309444,0.8118524964548853,1.4536938581402032
2021-01-01,4,4019,-0.2113999999999999,0,4771.935483870968,04019,2021-01,67929.0,9.8,5.7,0.582957238538884,-0.526182308904002,0.3736983187682803,0.5895216989928252
2021-01-01,4,4021,0.0118599999999999,0,4771.935483870968,04021,2021-01,77588.0,7.8,5.8,0.15664227458172786,-0.05955521830951203,-0.17399440333997632,0.6615360455884398
2021-01-01,4,4025,-0.08204,0,4771.935483870968,04025,2021-01,66106.0,7.8,4.2,0.15557667886009457,-0.6142515900049188,-0.17399440333997632,-0.49069349994139705
2021-01-01,4,4027,-0.05641,0,4771.935483870968,04027,2021-01,60417.0,13.8,8.1,1.6245885789024328,-0.8890876515425575,1.469083762984793,2.3178660172875807
2021-01-01,5,5005,-0.7226,0,1239.8387096774193,05005,2021-01,48427.0,9.0,5.6,1.0234550021154236,-1.4683255453439794,0.15462122992497754,0.51750735239721
2021-01-01,5,5007,-0.33,0,1239.8387096774193,05007,2021-01,89879.0,5.7,3.1,-0.9017190208320969,0.5342240104405528,-0.7490717615536454,-1.2828513124931602
2021-01-01,5,5031,-0.14298,0,1239.8387096774193,05031,2021-01,57615.0,13.2,6.0,1.2333010327649438,-1.024452503788728,1.3047759463523156,0.8055647387796696
2021-01-01,5,5045,-0.05572,0,1239.8387096774193,05045,2021-01,65071.0,9.9,3.3,0.19786878165070765,-0.6642525257917804,0.401082954873693,-1.1388226193019306
2021-01-01,5,5051,-0.13068,0,1239.8387096774193,05051,2021-01,55409.0,11.7,5.9,1.1373987843324018,-1.131024546634928,0.8940064047711235,0.733550392184055
2021-01-01,5,5069,-0.385,0,1239.8387096774193,05069,2021-01,48552.0,17.1,7.5,2.131108309643176,-1.4622867849832475,2.372776754463416,1.885779937713892
2021-01-01,5,5085,-0.238,0,1239.8387096774193,05085,2021-01,71449.0,8.1,4.5,0.09589386659928884,-0.35613081714578637,-0.09184049502373792,-0.2746504601545527
2021-01-01,5,5113,0.1344,0,1239.8387096774193,05113,2021-01,49252.0,15.3,8.4,2.1252741436982308,-1.4284697269631477,1.8798533045659853,2.5339090570744256
2021-01-01,5,5115,-0.3722,0,1239.8387096774193,05115,2021-01,54606.0,12.6,4.7,1.005103238160512,-1.1698175431922708,1.140468129719839,-0.13062176696332295
2021-01-01,5,5119,-0.2302,0,1239.8387096774193,05119,2021-01,60385.0,12.3,4.9,0.8592206346008967,-0.890633574194905,1.0583142214036008,0.013406926227906823
2021-01-01,5,5143,-0.03428,0,1239.8387096774193,05143,2021-01,66426.0,8.4,4.2,0.20143616651654184,-0.5987923634814446,-0.009686586707499268,-0.49069349994139705
2021-01-01,5,5145,0.07154,0,1239.8387096774193,05145,2021-01,53435.0,13.8,5.1,1.2250325227294026,-1.226388650251609,1.469083762984793,0.15743561941913595
2021-01-01,5,5147,-0.0452199999999999,0,1239.8387096774193,05147,2021-01,49982.0,15.2,6.3,1.682962312830754,-1.3932033664564722,1.852468668460572,1.0216077785665139
2021-01-01,6,6001,-0.3326,0,21169.90322580645,06001,2021-01,126240.0,5.6,5.2,-1.49129411911318,2.2908269342531886,-0.7764563976590584,0.22944996601475115
2021-01-01,6,6013,-0.196,0,21169.90322580645,06013,2021-01,125727.0,5.7,5.9,-1.3304197169926273,2.266043861732744,-0.7490717615536454,0.733550392184055
2021-01-01,6,6017,-0.456,0,21169.90322580645,06017,2021-01,106190.0,5.4,4.8,-1.0402518933472698,1.3222097723917616,-0.8312256698698838,-0.05860742036770838
2021-01-01,6,6019,-0.2178,0,21169.90322580645,06019,2021-01,71434.0,14.6,8.5,1.4750203646155096,-0.3568554683890742,1.6881608518280953,2.6059234036700403
2021-01-01,6,6029,-0.231,0,21169.90322580645,06029,2021-01,67660.0,15.2,8.4,1.6130885105176855,-0.5391777212002974,1.852468668460572,2.5339090570744256
2021-01-01,6,6037,-0.2708,0,21169.90322580645,06037,2021-01,87760.0,9.9,7.0,0.3059109528691359,0.4318549448054224,0.401082954873693,1.5257082047358177
2021-01-01,6,6039,-0.457,0,21169.90322580645,06039,2021-01,75496.0,15.4,10.6,1.8500741724025498,-0.16061991170672427,1.907237940671398,4.118224682177951
2021-01-01,6,6041,-0.3128,0,21169.90322580645,06041,2021-01,142785.0,4.0,6.1,-1.9119654479730717,3.090117255599688,-1.2146105753456633,0.8775790853752842
2021-01-01,6,6053,-0.2586,0,21169.90322580645,06053,2021-01,94486.0,9.2,5.1,-0.31551651582572837,0.7567885622956946,0.20939050213580299,0.15743561941913595
2021-01-01,6,6055,-0.02574,0,21169.90322580645,06055,2021-01,108970.0,5.6,5.1,-1.0389895594576595,1.4565118028144433,-0.7764563976590584,0.15743561941913595
2021-01-01,6,6059,-0.2258,0,21169.90322580645,06059,2021-01,113702.0,6.6,5.3,-1.0379471816848198,1.6851151150303172,-0.5026100366049302,0.3014643126103657
2021-01-01,6,6061,-0.2477999999999999,0,21169.90322580645,06061,2021-01,114678.0,4.6,4.5,-1.4040700799158434,1.7322657559269132,-1.0503027587131866,-0.2746504601545527
2021-01-01,6,6065,-0.316,0,21169.90322580645,06065,2021-01,89672.0,8.5,6.6,0.04752871124078272,0.5242238232831804,0.017698049397913453,1.2376508183533583
2021-01-01,6,6067,-0.2834,0,21169.90322580645,06067,2021-01,88724.0,9.1,6.4,0.08868410997310144,0.4784258647073883,0.18200586603039026,1.0936221251621292
2021-01-01,6,6071,-0.2142,0,21169.90322580645,06071,2021-01,82184.0,10.7,7.1,0.5507869761440506,0.1624779226338854,0.6201600437169953,1.5977225513314324
2021-01-01,6,6073,-0.2418,0,21169.90322580645,06073,2021-01,102285.0,6.9,6.2,-0.5215101287677325,1.1335588987224912,-0.42045612828869156,0.9495934319708993
